iter	Passed	Remaining
0	142	142437
1	143	71678
2	144	48015
3	145	36129
4	145	29013
5	147	24490
6	148	21102
7	149	18542
8	150	16556
9	151	14955
10	151	13643
11	152	12542
12	153	11654
13	154	10870
14	155	10207
15	156	9609
16	156	9074
17	157	8599
18	159	8217
19	160	7845
20	160	7495
21	161	7181
22	162	6885
23	162	6614
24	163	6371
25	163	6141
26	165	5958
27	165	5761
28	166	5586
29	167	5417
30	168	5258
31	168	5105
32	169	4962
33	169	4827
34	171	4721
35	171	4602
36	172	4492
37	173	4387
38	173	4287
39	174	4188
40	175	4095
41	175	4006
42	176	3935
43	177	3855
44	178	3781
45	179	3720
46	180	3654
47	180	3588
48	181	3523
49	183	3481
50	183	3421
51	185	3374
52	186	3323
53	186	3273
54	187	3220
55	187	3169
56	189	3127
57	189	3081
58	190	3035
59	191	2992
60	191	2951
61	192	2910
62	192	2869
63	193	2829
64	193	2790
65	195	2762
66	195	2727
67	196	2696
68	197	2664
69	198	2633
70	198	2601
71	199	2569
72	199	2538
73	200	2510
74	202	2491
75	202	2464
76	203	2437
77	204	2412
78	204	2386
79	205	2360
80	205	2335
81	206	2310
82	206	2283
83	208	2276
84	209	2256
85	211	2242
86	211	2221
87	212	2199
88	212	2178
89	213	2157
90	214	2138
91	214	2118
92	215	2099
93	215	2081
94	216	2064
95	217	2048
96	218	2030
97	218	2012
98	219	1994
99	219	1978
100	220	1962
101	221	1946
102	221	1930
103	222	1915
104	223	1901
105	223	1886
106	224	1870
107	224	1856
108	225	1841
109	225	1827
110	226	1814
111	227	1801
112	227	1787
113	228	1779
114	229	1767
115	230	1755
116	230	1741
117	231	1729
118	232	1719
119	232	1707
120	233	1695
121	233	1683
122	234	1671
123	235	1661
124	235	1651
125	236	1640
126	236	1628
127	237	1617
128	238	1608
129	239	1599
130	239	1590
131	241	1587
132	242	1580
133	243	1570
134	243	1560
135	244	1555
136	245	1546
137	246	1538
138	247	1531
139	248	1524
140	248	1516
141	249	1506
142	249	1497
143	251	1494
144	252	1486
145	252	1478
146	253	1470
147	254	1463
148	254	1454
149	255	1446
150	255	1438
151	257	1434
152	257	1427
153	258	1420
154	259	1413
155	259	1406
156	260	1399
157	261	1391
158	261	1383
159	262	1376
160	262	1368
161	263	1363
162	264	1356
163	264	1349
164	265	1342
165	265	1335
166	266	1330
167	267	1323
168	267	1317
169	268	1310
170	270	1310
171	271	1304
172	271	1298
173	272	1294
174	273	1289
175	274	1283
176	274	1277
177	275	1271
178	276	1266
179	276	1260
180	277	1255
181	277	1249
182	278	1244
183	279	1239
184	280	1233
185	280	1228
186	281	1222
187	281	1217
188	282	1212
189	283	1207
190	284	1204
191	284	1199
192	285	1194
193	286	1189
194	286	1184
195	287	1178
196	288	1176
197	289	1171
198	289	1166
199	290	1161
200	291	1157
201	291	1152
202	292	1147
203	292	1143
204	293	1138
205	294	1134
206	294	1129
207	295	1125
208	296	1121
209	296	1116
210	297	1113
211	298	1109
212	299	1105
213	299	1100
214	300	1096
215	301	1092
216	301	1088
217	302	1084
218	302	1079
219	303	1075
220	304	1071
221	304	1067
222	305	1063
223	305	1059
224	306	1055
225	306	1051
226	307	1047
227	308	1043
228	308	1039
229	309	1035
230	310	1032
231	310	1028
232	311	1024
233	311	1020
234	312	1016
235	312	1013
236	313	1009
237	314	1005
238	314	1002
239	315	998
240	316	995
241	316	992
242	317	988
243	317	984
244	318	981
245	318	977
246	319	973
247	320	970
248	320	966
249	321	963
250	321	960
251	322	957
252	322	953
253	323	950
254	324	946
255	324	943
256	326	943
257	327	941
258	327	938
259	329	936
260	330	934
261	330	931
262	331	928
263	332	925
264	332	922
265	333	919
266	333	916
267	334	913
268	335	910
269	335	908
270	336	905
271	337	902
272	337	899
273	338	896
274	339	893
275	339	891
276	340	888
277	340	885
278	341	883
279	342	880
280	342	877
281	343	874
282	344	872
283	344	869
284	345	866
285	346	864
286	346	861
287	347	858
288	348	856
289	348	853
290	349	850
291	349	848
292	350	845
293	351	842
294	351	840
295	352	837
296	352	835
297	353	832
298	354	830
299	354	828
300	355	825
301	356	822
302	356	820
303	357	817
304	357	815
305	358	812
306	359	810
307	359	808
308	360	806
309	361	804
310	361	801
311	362	799
312	363	797
313	363	795
314	364	793
315	365	790
316	365	788
317	366	786
318	367	784
319	367	781
320	368	779
321	368	776
322	369	775
323	370	773
324	371	770
325	371	768
326	372	766
327	373	764
328	373	762
329	374	759
330	374	757
331	375	755
332	375	752
333	376	750
334	377	748
335	377	746
336	378	744
337	378	742
338	379	740
339	380	737
340	380	735
341	381	733
342	381	731
343	382	730
344	383	728
345	384	726
346	385	724
347	385	722
348	386	720
349	386	718
350	387	716
351	387	714
352	388	712
353	389	709
354	389	707
355	390	705
356	390	704
357	391	702
358	392	700
359	392	698
360	393	696
361	393	694
362	394	692
363	395	690
364	395	688
365	396	686
366	396	684
367	397	683
368	398	681
369	399	679
370	400	678
371	401	678
372	402	676
373	403	675
374	404	673
375	404	671
376	405	669
377	405	667
378	406	665
379	407	665
380	408	663
381	408	661
382	409	659
383	410	658
384	410	656
385	411	654
386	412	653
387	414	653
388	415	651
389	415	650
390	416	648
391	417	646
392	417	645
393	418	643
394	419	641
395	420	641
396	421	640
397	422	639
398	423	637
399	424	636
400	424	634
401	425	632
402	426	631
403	426	629
404	427	627
405	427	626
406	429	625
407	430	624
408	430	622
409	431	621
410	433	620
411	433	619
412	434	617
413	435	616
414	435	614
415	436	612
416	437	611
417	437	609
418	438	607
419	439	606
420	439	604
421	440	603
422	441	602
423	441	600
424	442	598
425	443	597
426	443	595
427	445	594
428	445	593
429	446	591
430	447	590
431	448	589
432	448	587
433	449	585
434	449	584
435	451	584
436	452	582
437	452	581
438	453	579
439	454	578
440	455	576
441	455	575
442	456	573
443	457	572
444	457	571
445	458	569
446	459	568
447	460	566
448	460	565
449	461	564
450	462	562
451	462	561
452	463	559
453	464	558
454	465	557
455	465	555
456	466	554
457	467	552
458	467	551
459	468	550
460	469	548
461	470	547
462	471	546
463	472	545
464	472	544
465	473	542
466	474	541
467	474	539
468	476	539
469	477	538
470	478	537
471	479	536
472	480	535
473	481	533
474	482	533
475	483	532
476	484	531
477	485	529
478	486	528
479	486	527
480	487	526
481	488	525
482	489	523
483	490	522
484	491	521
485	491	520
486	492	518
487	493	517
488	493	515
489	494	514
490	495	513
491	496	512
492	496	511
493	497	510
494	498	508
495	499	507
496	500	506
497	501	505
498	502	504
499	502	502
500	503	501
501	504	500
502	505	499
503	505	497
504	506	496
505	507	495
506	509	495
507	510	494
508	511	493
509	512	491
510	512	490
511	513	489
512	514	488
513	514	486
514	515	485
515	516	484
516	517	483
517	518	482
518	518	480
519	519	479
520	520	478
521	521	477
522	521	476
523	522	474
524	523	473
525	523	472
526	524	470
527	525	469
528	526	468
529	527	467
530	527	466
531	528	464
532	529	463
533	529	462
534	530	460
535	530	459
536	531	458
537	532	457
538	532	455
539	533	454
540	534	453
541	534	451
542	535	450
543	535	449
544	536	447
545	538	447
546	538	446
547	539	445
548	540	444
549	541	442
550	542	441
551	542	440
552	544	440
553	545	439
554	546	438
555	547	437
556	548	435
557	548	434
558	549	433
559	550	432
560	551	431
561	552	430
562	552	429
563	553	428
564	554	426
565	555	425
566	555	424
567	556	423
568	557	422
569	558	421
570	558	419
571	559	418
572	560	417
573	560	416
574	561	415
575	562	413
576	562	412
577	563	411
578	564	410
579	565	409
580	566	408
581	566	406
582	567	405
583	570	406
584	571	405
585	573	404
586	574	404
587	575	403
588	577	402
589	578	401
590	579	400
591	580	400
592	581	399
593	582	398
594	583	397
595	584	396
596	586	395
597	587	394
598	588	393
599	589	392
600	590	392
601	591	390
602	592	389
603	593	388
604	595	388
605	596	387
606	597	386
607	598	385
608	598	384
609	599	383
610	600	382
611	601	381
612	602	380
613	604	379
614	604	378
615	605	377
616	606	376
617	607	375
618	607	374
619	608	372
620	609	371
621	609	370
622	610	369
623	611	368
624	611	367
625	612	365
626	613	364
627	614	363
628	614	362
629	615	361
630	615	360
631	616	359
632	617	357
633	617	356
634	618	355
635	619	354
636	620	353
637	620	352
638	621	350
639	622	350
640	623	349
641	624	348
642	625	347
643	626	346
644	626	345
645	627	343
646	628	342
647	629	341
648	629	340
649	630	339
650	631	338
651	632	337
652	632	336
653	633	335
654	634	334
655	634	332
656	636	332
657	636	330
658	637	329
659	638	328
660	638	327
661	639	326
662	640	325
663	641	324
664	641	323
665	642	322
666	643	321
667	644	320
668	644	318
669	645	317
670	646	316
671	646	315
672	647	314
673	648	313
674	649	312
675	650	311
676	650	310
677	651	309
678	651	308
679	652	307
680	653	306
681	654	305
682	655	304
683	655	302
684	656	301
685	657	300
686	658	299
687	659	298
688	659	297
689	660	296
690	661	295
691	661	294
692	662	293
693	663	292
694	664	291
695	664	290
696	665	289
697	666	288
698	667	287
699	668	286
700	668	285
701	669	284
702	670	283
703	670	281
704	672	281
705	672	280
706	673	279
707	674	278
708	674	277
709	675	275
710	676	274
711	676	273
712	677	272
713	678	271
714	679	270
715	679	269
716	680	268
717	681	267
718	681	266
719	682	265
720	683	264
721	685	263
722	686	263
723	687	262
724	688	261
725	690	260
726	691	259
727	692	258
728	693	257
729	694	257
730	695	255
731	697	255
732	698	254
733	698	253
734	699	252
735	700	251
736	700	250
737	701	249
738	701	247
739	703	247
740	703	246
741	704	245
742	705	244
743	706	243
744	706	241
745	707	240
746	708	239
747	709	238
748	709	237
749	710	236
750	711	235
751	711	234
752	712	233
753	713	232
754	713	231
755	714	230
756	716	229
757	717	228
758	718	228
759	719	227
760	720	226
761	720	225
762	721	224
763	722	223
764	723	222
765	723	221
766	725	220
767	726	219
768	726	218
769	727	217
770	728	216
771	728	215
772	729	214
773	729	213
774	730	212
775	731	211
776	731	210
777	732	208
778	732	207
779	733	206
780	734	205
781	735	204
782	735	203
783	736	202
784	737	201
785	737	200
786	738	199
787	739	198
788	739	197
789	740	196
790	741	195
791	741	194
792	742	193
793	743	192
794	744	191
795	745	190
796	745	189
797	747	189
798	748	188
799	749	187
800	749	186
801	750	185
802	751	184
803	751	183
804	753	182
805	753	181
